id,parent_id,child_number_of_records,code,name,kana,nickname,update_at,update_user
1,1,5,ORG-0001,本社1,ホンシャ1,H1,2024-04-01,system
2,2,5,ORG-0002,本社2,ホンシャ2,H2,2024-04-01,system
3,3,5,ORG-0003,本社3,ホンシャ3,H3,2024-04-01,system
4,4,5,ORG-0004,本社4,ホンシャ4,H4,2024-04-01,system
5,5,5,ORG-0005,本社5,ホンシャ5,H5,2024-04-01,system
6,1,7,ORG-0006,本社1-課1,ホンシャ1カ1,H1K1,2024-04-01,system
7,1,7,ORG-0007,本社1-課2,ホンシャ1カ2,H1K2,2024-04-01,system
8,1,7,ORG-0008,本社1-課3,ホンシャ1カ3,H1K3,2024-04-01,system
9,1,7,ORG-0009,本社1-課4,ホンシャ1カ4,H1K4,2024-04-01,system
10,1,7,ORG-0010,本社1-課5,ホンシャ1カ5,H1K5,2024-04-01,system
11,2,7,ORG-0011,本社2-課1,ホンシャ2カ1,H2K1,2024-04-01,system
12,2,7,ORG-0012,本社2-課2,ホンシャ2カ2,H2K2,2024-04-01,system
13,2,7,ORG-0013,本社2-課3,ホンシャ2カ3,H2K3,2024-04-01,system
14,2,7,ORG-0014,本社2-課4,ホンシャ2カ4,H2K4,2024-04-01,system
15,2,7,ORG-0015,本社2-課5,ホンシャ2カ5,H2K5,2024-04-01,system
16,3,7,ORG-0016,本社3-課1,ホンシャ3カ1,H3K1,2024-04-01,system
17,3,7,ORG-0017,本社3-課2,ホンシャ3カ2,H3K2,2024-04-01,system
18,3,7,ORG-0018,本社3-課3,ホンシャ3カ3,H3K3,2024-04-01,system
19,3,7,ORG-0019,本社3-課4,ホンシャ3カ4,H3K4,2024-04-01,system
20,3,7,ORG-0020,本社3-課5,ホンシャ3カ5,H3K5,2024-04-01,system
21,4,7,ORG-0021,本社4-課1,ホンシャ4カ1,H4K1,2024-04-01,system
22,4,7,ORG-0022,本社4-課2,ホンシャ4カ2,H4K2,2024-04-01,system
23,4,7,ORG-0023,本社4-課3,ホンシャ4カ3,H4K3,2024-04-01,system
24,4,7,ORG-0024,本社4-課4,ホンシャ4カ4,H4K4,2024-04-01,system
25,4,7,ORG-0025,本社4-課5,ホンシャ4カ5,H4K5,2024-04-01,system
26,6,3,ORG-0026,課1-係1,カ1カカ1,K1K1,2024-04-01,system
27,6,3,ORG-0027,課1-係2,カ1カカ2,K1K2,2024-04-01,system
28,6,3,ORG-0028,課1-係3,カ1カカ3,K1K3,2024-04-01,system
29,7,3,ORG-0029,課2-係1,カ2カカ1,K2K1,2024-04-01,system
30,7,3,ORG-0030,課2-係2,カ2カカ2,K2K2,2024-04-01,system
31,7,3,ORG-0031,課2-係3,カ2カカ3,K2K3,2024-04-01,system
32,8,3,ORG-0032,課3-係1,カ3カカ1,K3K1,2024-04-01,system
33,8,3,ORG-0033,課3-係2,カ3カカ2,K3K2,2024-04-01,system
34,8,3,ORG-0034,課3-係3,カ3カカ3,K3K3,2024-04-01,system
35,9,3,ORG-0035,課4-係1,カ4カカ1,K4K1,2024-04-01,system
36,9,3,ORG-0036,課4-係2,カ4カカ2,K4K2,2024-04-01,system
37,9,3,ORG-0037,課4-係3,カ4カカ3,K4K3,2024-04-01,system
38,10,3,ORG-0038,課5-係1,カ5カカ1,K5K1,2024-04-01,system
39,10,3,ORG-0039,課5-係2,カ5カカ2,K5K2,2024-04-01,system
40,10,3,ORG-0040,課5-係3,カ5カカ3,K5K3,2024-04-01,system
41,11,3,ORG-0041,課1-係1,カ1カカ1,K1K1,2024-04-01,system
42,11,3,ORG-0042,課1-係2,カ1カカ2,K1K2,2024-04-01,system
43,11,3,ORG-0043,課1-係3,カ1カカ3,K1K3,2024-04-01,system
44,12,3,ORG-0044,課2-係1,カ2カカ1,K2K1,2024-04-01,system
45,12,3,ORG-0045,課2-係2,カ2カカ2,K2K2,2024-04-01,system
46,12,3,ORG-0046,課2-係3,カ2カカ3,K2K3,2024-04-01,system
47,13,3,ORG-0047,課3-係1,カ3カカ1,K3K1,2024-04-01,system
48,13,3,ORG-0048,課3-係2,カ3カカ2,K3K2,2024-04-01,system
49,13,3,ORG-0049,課3-係3,カ3カカ3,K3K3,2024-04-01,system
50,14,3,ORG-0050,課4-係1,カ4カカ1,K4K1,2024-04-01,system
51,14,3,ORG-0051,課4-係2,カ4カカ2,K4K2,2024-04-01,system
52,14,3,ORG-0052,課4-係3,カ4カカ3,K4K3,2024-04-01,system
53,15,3,ORG-0053,課5-係1,カ5カカ1,K5K1,2024-04-01,system
54,15,3,ORG-0054,課5-係2,カ5カカ2,K5K2,2024-04-01,system
55,15,3,ORG-0055,課5-係3,カ5カカ3,K5K3,2024-04-01,system
56,16,3,ORG-0056,課1-係1,カ1カカ1,K1K1,2024-04-01,system
57,16,3,ORG-0057,課1-係2,カ1カカ2,K1K2,2024-04-01,system
58,16,3,ORG-0058,課1-係3,カ1カカ3,K1K3,2024-04-01,system
59,17,3,ORG-0059,課2-係1,カ2カカ1,K2K1,2024-04-01,system
60,17,3,ORG-0060,課2-係2,カ2カカ2,K2K2,2024-04-01,system
61,17,3,ORG-0061,課2-係3,カ2カカ3,K2K3,2024-04-01,system
62,18,3,ORG-0062,課3-係1,カ3カカ1,K3K1,2024-04-01,system
63,18,3,ORG-0063,課3-係2,カ3カカ2,K3K2,2024-04-01,system
64,18,3,ORG-0064,課3-係3,カ3カカ3,K3K3,2024-04-01,system
65,19,3,ORG-0065,課4-係1,カ4カカ1,K4K1,2024-04-01,system
66,19,3,ORG-0066,課4-係2,カ4カカ2,K4K2,2024-04-01,system
